Timestamp,True_Value,Reconstructed_Value,Reconstruction_Error,Peak
30,-1.305176,-1.3017974,0.0033786297,0
31,-1.299805,-1.2963461,0.0034589767,0
32,-1.299805,-1.2962724,0.003532648,0
33,-1.2890619,-1.2854522,0.0036096573,0
34,-1.2702641,-1.2665726,0.003691554,0
35,-1.2622068,-1.2584333,0.0037734509,0
36,-1.2675778,-1.2637285,0.003849268,0
37,-1.2729489,-1.2690328,0.003916025,0
38,-1.264893,-1.2609094,0.003983617,0
39,-1.2487789,-1.2447227,0.0040562153,0
40,-1.2434078,-1.2392763,0.0041315556,0
41,-1.2434078,-1.2392042,0.004203677,0
42,-1.2380369,-1.2337649,0.004271984,0
43,-1.2165527,-1.212211,0.0043417215,0
44,-1.208496,-1.2040794,0.004416585,0
45,-1.213867,-1.209375,0.0044919252,0
46,-1.2219238,-1.2173668,0.0045570135,0
47,-1.213867,-1.2092506,0.0046163797,0
48,-1.1977539,-1.1930747,0.004679203,0
49,-1.1923829,-1.1876343,0.004748583,0
50,-1.1950681,-1.1902502,0.0048179626,0
51,-1.1870118,-1.1821327,0.004879117,0
52,-1.168213,-1.1632761,0.0049369335,0
53,-1.1601561,-1.1551504,0.0050057173,0
54,-1.1655272,-1.1604466,0.0050805807,0
55,-1.173584,-1.1684483,0.0051356554,0
56,-1.1655272,-1.1603326,0.005194664,0
57,-1.1521,-1.1468484,0.005251527,0
58,-1.1467289,-1.141414,0.005314827,0
59,-1.1494142,-1.1440763,0.0053378344,0
60,-1.1440431,-1.138659,0.0053840876,0
61,-1.122559,-1.1170788,0.0054801702,0
62,-1.1145022,-1.1089624,0.005539775,0
63,-1.122559,-1.1170083,0.005550623,0
64,-1.1306148,-1.1250777,0.005537033,0
65,-1.122559,-1.116969,0.005589962,0
66,-1.1091311,-1.103462,0.005669117,0
67,-1.1037601,-1.0980457,0.0057144165,0
68,-1.1091311,-1.1034167,0.0057144165,0
69,-1.1037601,-1.0980036,0.0057564974,0
70,-1.0822749,-1.0764109,0.005864024,0
71,-1.0742192,-1.0683006,0.005918622,0
72,-1.0822749,-1.0763623,0.0059126616,0
73,-1.0903318,-1.0844295,0.0059022903,0
74,-1.0849607,-1.0790197,0.0059410334,0
75,-1.0688481,-1.0628252,0.00602293,0
76,-1.0661619,-1.0601066,0.006055236,0
77,-1.0715328,-1.0654744,0.0060584545,0
78,-1.0661619,-1.0600647,0.0060971975,0
79,-1.047363,-1.04118,0.006183028,0
80,-1.036621,-1.0303801,0.0062408447,0
81,-1.0446777,-1.0384375,0.0062402487,0
82,-1.052734,-1.0465014,0.0062326193,0
83,-1.0500488,-1.0437894,0.0062594414,0
84,-1.0339357,-1.0276037,0.0063319206,0
85,-1.0285641,-1.0221918,0.0063723326,0
86,-1.036621,-1.0302523,0.006368637,0
87,-1.0339357,-1.0275393,0.006396413,0
88,-1.0151368,-1.0086645,0.006472349,0
89,-1.001709,-0.99517775,0.0065312386,0
90,-1.0097659,-1.0032302,0.0065356493,0
91,-1.0205078,-1.0139831,0.006524682,0
92,-1.017822,-1.0112745,0.00654757,0
93,-1.001709,-0.995098,0.0066109896,0
94,-0.99633795,-0.9896904,0.006647527,0
95,-1.0043948,-0.9977472,0.006647587,0
96,-1.001709,-0.99503577,0.006673217,0
97,-0.98291016,-0.9761719,0.0067382455,0
98,-0.9721681,-0.96538293,0.0067851543,0
99,-0.9775391,-0.97074246,0.006796658,0
100,-0.9882812,-0.98149,0.0067911744,0
101,-0.98559594,-0.97878236,0.0068135858,0
102,-0.9721681,-0.9653054,0.0068627,0
103,-0.96948177,-0.96259284,0.006888926,0
104,-0.9748539,-0.9679557,0.0068981647,0
105,-0.9721681,-0.96524644,0.006921649,0
106,-0.956055,-0.9490842,0.006970763,0
107,-0.9426272,-0.9356127,0.007014513,0
108,-0.950684,-0.94365746,0.007026553,0
109,-0.961426,-0.95440227,0.0070237517,0
110,-0.9587397,-0.9516952,0.007044494,0
111,-0.94531184,-0.9382264,0.0070854425,0
112,-0.93994087,-0.9328253,0.007115543,0
113,-0.9479982,-0.94087726,0.007120967,0
114,-0.94531184,-0.93816906,0.007142782,0
115,-0.9291988,-0.922015,0.00718379,0
116,-0.91577095,-0.90854955,0.0072214007,0
117,-0.92382777,-0.9165916,0.0072361827,0
118,-0.93456984,-0.92733145,0.007238388,0
119,-0.93456984,-0.9273178,0.0072520375,0
120,-0.92114305,-0.9138572,0.0072858334,0
121,-0.91845673,-0.91114795,0.007308781,0
122,-0.9265141,-0.9191977,0.0073164105,0
123,-0.92382777,-0.9164922,0.0073355436,0
124,-0.9050289,-0.89765733,0.007371545,0
125,-0.8942869,-0.8868869,0.0073999763,0
126,-0.8996579,-0.89223987,0.0074180365,0
127,-0.9130857,-0.9056634,0.007422328,0
128,-0.9103999,-0.90296227,0.0074376464,0
129,-0.8996579,-0.89219564,0.007462263,0
130,-0.8942869,-0.8868028,0.0074840784,0
131,-0.9050289,-0.89753556,0.007493317,0
132,-0.9023442,-0.8948339,0.0075103045,0
133,-0.8835448,-0.8760078,0.0075370073,0
134,-0.87280273,-0.8652433,0.0075594187,0
135,-0.880859,-0.8732805,0.007578492,0
136,-0.89160216,-0.88401437,0.0075877905,0
137,-0.88891584,-0.88131547,0.007600367,0
138,-0.87817377,-0.8705543,0.0076194406,0
139,-0.875488,-0.86784995,0.007638037,0
140,-0.8835448,-0.8758931,0.0076516867,0
141,-0.8835448,-0.87588,0.0076647997,0
142,-0.8647459,-0.8570631,0.0076828003,0
143,-0.8540039,-0.8463036,0.007700324,0
144,-0.8593749,-0.85165334,0.0077215433,0
145,-0.87011695,-0.86238176,0.007735193,0
146,-0.87011695,-0.86237085,0.0077461004,0
147,-0.8593749,-0.8516162,0.007758677,0
148,-0.8566891,-0.8489146,0.0077744722,0
149,-0.8674317,-0.85964084,0.0077908635,0
150,-0.8647459,-0.85694355,0.007802367,0
151,-0.8486329,-0.84081846,0.007814407,0
152,-0.835205,-0.8273797,0.007825315,0
153,-0.84326184,-0.8354125,0.007849336,0
154,-0.8540039,-0.8461387,0.0078651905,0
155,-0.8513181,-0.84344363,0.007874489,0
