LOAD|1,LOAD|2,LOAD|3,LOAD|6,ENC_POS|1,ENC_POS|2,ENC_POS|3,ENC_POS|6,CTRL_DIFF2|1,CTRL_DIFF2|2,CTRL_DIFF2|3,CTRL_DIFF2|6,TORQUE|1,TORQUE|2,TORQUE|3,TORQUE|6,DES_POS|1,DES_POS|2,DES_POS|3,DES_POS|6,CTRL_DIFF|1,CTRL_DIFF|2,CTRL_DIFF|3,CTRL_DIFF|6,CTRL_POS|1,CTRL_POS|2,CTRL_POS|3,CTRL_POS|6,VEL_FFW|1,VEL_FFW|2,VEL_FFW|3,VEL_FFW|6,CONT_DEV|1,CONT_DEV|2,CONT_DEV|3,CONT_DEV|6,CMD_SPEED|1,CMD_SPEED|2,CMD_SPEED|3,CMD_SPEED|6,TORQUE_FFW|1,TORQUE_FFW|2,TORQUE_FFW|3,TORQUE_FFW|6,ENC1_POS|1,ENC1_POS|2,ENC1_POS|3,ENC1_POS|6,ENC2_POS|1,ENC2_POS|2,ENC2_POS|3,ENC2_POS|6,CURRENT|1,CURRENT|2,CURRENT|3,CURRENT|6
0.43335,5.505371,0.183105,4.138184,1.320871,305.149787,378.33601,1129409.412192,-0.000124,-0.000544,0.0,-18.708192,-0.463867,-5.371094,-0.201416,-3.743016,1.408994,305.060996,378.33601,1129505.904,-0.000124,-0.000544,0.0,0.0,1.320747,305.149243,378.33601,1129390.704,6.788225,-6.788225,0.0,19200.0,-0.000124,-0.000544,0.0,0.0,6.784084,-6.806358,0.0,19200.0,0.0,0.0,0.0,0.0,1.339875,305.181738,378.334216,1129409.412192,1.320871,305.149787,378.33601,0.0,-0.361328,-4.331055,-0.15625,-2.240479
0.152588,7.220459,0.3479,2.746582,-22.80074,306.675939,378.335424,541257.992896,0.00073,-0.001298,0.000586,-13.376896,-0.134277,-7.177734,-0.354004,-3.530861,-22.80001,306.758492,378.33601,541327.416,0.00073,-0.001298,0.000586,0.0,-22.80001,306.674642,378.33601,541244.616,0.0,6.45,0.0,13800.0,0.00073,-0.001298,0.000586,0.0,0.024341,6.406747,0.019539,13800.0,0.0,0.0,0.0,0.0,-22.79483,306.718692,378.333708,541257.992896,-22.80074,306.675939,378.335424,0.0,-0.107422,-5.766602,-0.27832,-1.522705
0.567627,5.841064,0.311279,2.618408,-18.392459,324.863703,378.336059,1073652.661932,0.0002,-0.001454,-4.9e-05,-18.757932,-0.518799,-5.560303,-0.390625,-2.515549,-18.304012,324.774002,378.33601,1073749.104,0.0002,-0.001454,-4.9e-05,0.0,-18.392259,324.862249,378.33601,1073633.904,6.788225,-6.788225,0.0,19200.0,0.0002,-0.001454,-4.9e-05,0.0,6.7949,-6.836704,-0.00162,19200.0,0.0,0.0,0.0,0.0,-18.382781,324.896111,378.333508,1073652.661932,-18.392459,324.863703,378.336059,0.0,-0.419922,-4.49707,-0.273438,-1.481689
0.65918,6.542969,0.445557,2.752686,8.523264,279.269553,378.335951,418609.104498,8.8e-05,0.000447,5.9e-05,-18.384498,0.732422,-6.573486,-0.469971,-2.545857,8.441884,279.27,378.33601,418705.92,8.8e-05,0.000447,5.9e-05,0.0,8.523351,279.27,378.33601,418590.72,-6.266667,0.0,0.0,19200.0,8.8e-05,0.000447,5.9e-05,0.0,-6.263747,0.014909,0.001961,19200.0,0.0,0.0,0.0,0.0,8.516157,279.313538,378.333721,418609.104498,8.523264,279.269553,378.335951,0.0,0.561523,-5.229492,-0.371094,-1.558594
0.177002,6.079102,0.32959,2.935791,22.200129,298.694123,378.336293,725588.913306,-0.000139,-0.000742,-0.000283,-16.905306,0.170898,-6.04248,-0.408936,-3.015628,22.19999,298.580281,378.33601,725676.408,-0.000139,-0.000742,-0.000283,0.0,22.19999,298.693381,378.33601,725572.008,0.0,-8.7,0.0,17400.0,-0.000139,-0.000742,-0.000283,0.0,-0.00463,-8.724747,-0.009432,17400.0,0.0,0.0,0.0,0.0,22.211377,298.729649,378.333925,725588.913306,22.200129,298.694123,378.336293,0.0,0.136719,-4.853516,-0.288086,-1.61499
0.146484,5.487061,0.213623,4.608154,26.51757,321.606154,378.335902,305109.414557,0.001034,-0.000439,0.000108,-15.738557,-0.189209,-5.395508,-0.20752,-5.061407,26.547926,321.502551,378.33601,305192.676,0.001034,-0.000439,0.000108,0.0,26.518605,321.605715,378.33601,305093.676,2.23106,-7.942599,0.0,16500.0,0.001034,-0.000439,0.000108,0.0,2.265539,-7.957242,0.003589,16500.0,0.0,0.0,0.0,0.0,26.528161,321.635525,378.334667,305109.414557,26.51757,321.606154,378.335902,0.0,-0.151367,-4.331055,-0.146484,-2.578857
0.695801,7.299805,0.561523,1.361084,-21.441619,285.628967,378.33599,844425.653647,0.000447,-0.000129,2e-05,-14.117647,-0.701904,-7.312012,-0.561523,-1.636622,-21.374987,285.695023,378.33601,844497.936,0.000447,-0.000129,2e-05,0.0,-21.441172,285.628838,378.33601,844411.536,5.091169,5.091169,0.0,14400.0,0.000447,-0.000129,2e-05,0.0,5.106067,5.086869,0.000659,14400.0,0.0,0.0,0.0,0.0,-21.436502,285.669251,378.333194,844425.653647,-21.441619,285.628967,378.33599,0.0,-0.561523,-5.844727,-0.449219,-0.728027
0.531006,7.128906,0.567627,3.424072,21.247775,329.2701,378.336029,970932.597159,0.00053,-0.0001,-1.9e-05,-18.693159,0.982666,-7.141113,-0.567627,-2.636781,21.123506,329.27,378.33601,971029.104,0.00053,-0.0001,-1.9e-05,0.0,21.248306,329.27,378.33601,970913.904,-9.6,0.0,0.0,19200.0,0.00053,-0.0001,-1.9e-05,0.0,-9.582326,-0.00332,-0.000643,19200.0,0.0,0.0,0.0,0.0,21.259299,329.310432,378.333109,970932.597159,21.247775,329.2701,378.336029,0.0,0.717773,-5.708008,-0.454102,-1.486816
0.384521,6.445312,0.518799,0.073242,22.199982,284.269982,483.336029,356.566733,8e-06,1.8e-05,-1.9e-05,-1.030733,-0.390625,-6.445312,0.524902,-0.181847,22.19999,284.27,483.33601,355.536,8e-06,1.8e-05,-1.9e-05,0.0,22.19999,284.27,483.33601,355.536,0.0,0.0,0.0,0.0,8e-06,1.8e-05,-1.9e-05,0.0,0.0,0.000586,-0.000643,0.0,0.0,0.0,0.0,0.0,22.21455,284.310157,483.319667,356.566733,22.199982,284.269982,483.336029,0.0,-0.307617,-5.15625,0.419922,-0.046143
0.787354,6.311035,0.537109,1.361084,-17.371229,284.269904,378.336029,828643.232993,1.9e-05,9.6e-05,-1.9e-05,-14.096993,0.750732,-6.304932,-0.537109,-1.591161,-17.46481,284.27,378.33601,828715.536,1.9e-05,9.6e-05,-1.9e-05,0.0,-17.37121,284.27,378.33601,828629.136,-7.2,0.0,0.0,14400.0,1.9e-05,9.6e-05,-1.9e-05,0.0,-7.199383,0.00319,-0.000643,14400.0,0.0,0.0,0.0,0.0,-17.372095,284.308992,378.3332,828643.232993,-17.371229,284.269904,378.336029,0.0,0.600586,-5.043945,-0.429688,-0.743408
